"sku","fnsku","asin","product-name","condition","your-price","mfn-listing-exists","mfn-fulfillable-quantity","afn-listing-exists","afn-warehouse-quantity","afn-fulfillable-quantity","afn-unsellable-quantity","afn-reserved-quantity","afn-total-quantity","per-unit-volume","afn-inbound-working-quantity","afn-inbound-shipped-quantity","afn-inbound-receiving-quantity","afn-reserved-future-supply","afn-future-supply-buyable",Account,Country,Reference
"AO-MSB-BLUE","X001KMMQV9","B01MF77K9Y",,"Unknown",,,,,"0","0","0","0","0",,"0","0","0","0","0",Meal Prep Haven,US,https://sellercentral.amazon.com/gp/ssof/reports/search.html?#orderAscending=&recordType=FBA_MYI_UNSUPPRESSED_INVENTORY&noResultType=&merchantSku=&fnSku=&FnSkuXORMSku=&reimbursementId=&orderId=&genericOrderId=&asin=&lpn=&shipmentId=&problemType=ALL_DEFECT_TYPES&hazmatStatus=&inventoryEventTransactionType=&fulfillmentCenterId=&transactionItemId=&inventoryAdjustmentReasonGroup=&eventDateOption=1&fromDate=mm%2Fdd%2Fyyyy&toDate=mm%2Fdd%2Fyyyy&startDate=&endDate=&fromMonth=1&fromYear=2019&toMonth=1&toYear=2019&startMonth=&startYear=&endMonth=&endYear=&specificMonth=1&specificYear=2019
"CB-FBS-60P","X001YBX223","B07KM4CXGM","Cushion Foam Sheet and Pouch Variety Bundle Pack (60 Pack), Packing Supplies for Moving, Wrapping Dishes, Glasses, Furniture Legs","New","9.95","No",,"Yes","627","627","0","0","627","0.43","0","0","0","0","0",Meal Prep Haven,US,https://sellercentral.amazon.com/gp/ssof/reports/search.html?#orderAscending=&recordType=FBA_MYI_UNSUPPRESSED_INVENTORY&noResultType=&merchantSku=&fnSku=&FnSkuXORMSku=&reimbursementId=&orderId=&genericOrderId=&asin=&lpn=&shipmentId=&problemType=ALL_DEFECT_TYPES&hazmatStatus=&inventoryEventTransactionType=&fulfillmentCenterId=&transactionItemId=&inventoryAdjustmentReasonGroup=&eventDateOption=1&fromDate=mm%2Fdd%2Fyyyy&toDate=mm%2Fdd%2Fyyyy&startDate=&endDate=&fromMonth=1&fromYear=2019&toMonth=1&toYear=2019&startMonth=&startYear=&endMonth=&endYear=&specificMonth=1&specificYear=2019
"CB-FOAM-50PK","B01LXWVOTY","B01LXWVOTY","Premium Foam Packing Sheets(50Count, 12� x 12�) Cushion Foam Wrap Sheets, Moving Supplies for Dishes, Glasses & Furniture, Packing Cushioning Supplies, Soft & Durable Packing Sheets","New","15.95","No",,"Yes","16","3","0","13","16","0.37","0","0","0","0","0",Meal Prep Haven,US,https://sellercentral.amazon.com/gp/ssof/reports/search.html?#orderAscending=&recordType=FBA_MYI_UNSUPPRESSED_INVENTORY&noResultType=&merchantSku=&fnSku=&FnSkuXORMSku=&reimbursementId=&orderId=&genericOrderId=&asin=&lpn=&shipmentId=&problemType=ALL_DEFECT_TYPES&hazmatStatus=&inventoryEventTransactionType=&fulfillmentCenterId=&transactionItemId=&inventoryAdjustmentReasonGroup=&eventDateOption=1&fromDate=mm%2Fdd%2Fyyyy&toDate=mm%2Fdd%2Fyyyy&startDate=&endDate=&fromMonth=1&fromYear=2019&toMonth=1&toYear=2019&startMonth=&startYear=&endMonth=&endYear=&specificMonth=1&specificYear=2019
"CB-FWP-L-30P","X0024A7AGH","B071KTS12J","Premium Foam Packing Sheets (30 Count, 11 7/8 x 12 1/8 inches) Cushion Foam Wrap Sheets, Moving Supplies for Dishes, Glasses and Furniture, Packing Cushioning Supplies, Soft and Durable","New","16.95","No",,"Yes","0","0","0","0","0","0.55","0","0","0","0","0",Meal Prep Haven,US,https://sellercentral.amazon.com/gp/ssof/reports/search.html?#orderAscending=&recordType=FBA_MYI_UNSUPPRESSED_INVENTORY&noResultType=&merchantSku=&fnSku=&FnSkuXORMSku=&reimbursementId=&orderId=&genericOrderId=&asin=&lpn=&shipmentId=&problemType=ALL_DEFECT_TYPES&hazmatStatus=&inventoryEventTransactionType=&fulfillmentCenterId=&transactionItemId=&inventoryAdjustmentReasonGroup=&eventDateOption=1&fromDate=mm%2Fdd%2Fyyyy&toDate=mm%2Fdd%2Fyyyy&startDate=&endDate=&fromMonth=1&fromYear=2019&toMonth=1&toYear=2019&startMonth=&startYear=&endMonth=&endYear=&specificMonth=1&specificYear=2019
"CHG-CHAR-2004PK","X001MAZPIZ","B0775JBB2B","4-Pack Natural Activated Bamboo Charcoal Bags for Home, Car, Business, Grey Charcoal Bags, 200g Air Purifying Charcoal Deodorizer Bags, 100% Natural Odor Eliminator Air Purifying Bags","New","49.00","No",,"Yes","0","0","0","0","0","0.13","0","0","0","0","0",Meal Prep Haven,US,https://sellercentral.amazon.com/gp/ssof/reports/search.html?#orderAscending=&recordType=FBA_MYI_UNSUPPRESSED_INVENTORY&noResultType=&merchantSku=&fnSku=&FnSkuXORMSku=&reimbursementId=&orderId=&genericOrderId=&asin=&lpn=&shipmentId=&problemType=ALL_DEFECT_TYPES&hazmatStatus=&inventoryEventTransactionType=&fulfillmentCenterId=&transactionItemId=&inventoryAdjustmentReasonGroup=&eventDateOption=1&fromDate=mm%2Fdd%2Fyyyy&toDate=mm%2Fdd%2Fyyyy&startDate=&endDate=&fromMonth=1&fromYear=2019&toMonth=1&toYear=2019&startMonth=&startYear=&endMonth=&endYear=&specificMonth=1&specificYear=2019
"CHG-CHAR-HS-3PK","B06Y5LXR9V","B06Y5LXR9V","Activated Charcoal Odor Absorber Bags (3-Pack), Bamboo Charcoal Room Deodorizer, Natural Odor Eliminator, Car Odor Absorbing Bags, Charcoal Bamboo Air Purifying Bag, All-Natural Moisture Absorber Bags","New","14.95","No",,"Yes","2","1","1","0","2","0.12","0","0","0","0","0",Meal Prep Haven,US,https://sellercentral.amazon.com/gp/ssof/reports/search.html?#orderAscending=&recordType=FBA_MYI_UNSUPPRESSED_INVENTORY&noResultType=&merchantSku=&fnSku=&FnSkuXORMSku=&reimbursementId=&orderId=&genericOrderId=&asin=&lpn=&shipmentId=&problemType=ALL_DEFECT_TYPES&hazmatStatus=&inventoryEventTransactionType=&fulfillmentCenterId=&transactionItemId=&inventoryAdjustmentReasonGroup=&eventDateOption=1&fromDate=mm%2Fdd%2Fyyyy&toDate=mm%2Fdd%2Fyyyy&startDate=&endDate=&fromMonth=1&fromYear=2019&toMonth=1&toYear=2019&startMonth=&startYear=&endMonth=&endYear=&specificMonth=1&specificYear=2019
"CHG-CHAR-OFHS-5PK","X00249N7SX","B0765YF3QP","Bamboo Charcoal Air Purifying Bag (5 Pack) Bundle, Natural Air Fresheners & Odor Eliminators for Home, Bad Air Deodorizer, Closet Freshener, Fridge Deodorizer, Car Air Purifier, Shoe Odor Eliminator","New","14.95","No",,"Yes","1","1","0","0","1","0.12","0","0","0","0","0",Meal Prep Haven,US,https://sellercentral.amazon.com/gp/ssof/reports/search.html?#orderAscending=&recordType=FBA_MYI_UNSUPPRESSED_INVENTORY&noResultType=&merchantSku=&fnSku=&FnSkuXORMSku=&reimbursementId=&orderId=&genericOrderId=&asin=&lpn=&shipmentId=&problemType=ALL_DEFECT_TYPES&hazmatStatus=&inventoryEventTransactionType=&fulfillmentCenterId=&transactionItemId=&inventoryAdjustmentReasonGroup=&eventDateOption=1&fromDate=mm%2Fdd%2Fyyyy&toDate=mm%2Fdd%2Fyyyy&startDate=&endDate=&fromMonth=1&fromYear=2019&toMonth=1&toYear=2019&startMonth=&startYear=&endMonth=&endYear=&specificMonth=1&specificYear=2019
"CHG-CHAR200-4PK","B01N8S735Y","B01N8S735Y","Bamboo Charcoal Air Purifying Bag (4 Pack), 200g Natural Air Purifying Bags, Activated Charcoal Odor Eliminators, Car Air Purifier, Closet Freshener, Home Air Purifier, Odor Eliminating Charcoal Bags","New","28.95","No",,"Yes","0","0","0","0","0","0.23","0","0","0","0","0",Meal Prep Haven,US,https://sellercentral.amazon.com/gp/ssof/reports/search.html?#orderAscending=&recordType=FBA_MYI_UNSUPPRESSED_INVENTORY&noResultType=&merchantSku=&fnSku=&FnSkuXORMSku=&reimbursementId=&orderId=&genericOrderId=&asin=&lpn=&shipmentId=&problemType=ALL_DEFECT_TYPES&hazmatStatus=&inventoryEventTransactionType=&fulfillmentCenterId=&transactionItemId=&inventoryAdjustmentReasonGroup=&eventDateOption=1&fromDate=mm%2Fdd%2Fyyyy&toDate=mm%2Fdd%2Fyyyy&startDate=&endDate=&fromMonth=1&fromYear=2019&toMonth=1&toYear=2019&startMonth=&startYear=&endMonth=&endYear=&specificMonth=1&specificYear=2019
"CHG-GGB-6P","B071LMBRY8","B071LMBRY8","Set of 6-33.75 Oz Giara Glass Bottle with Stopper Caps, Carafe Swing Top Bottles with Airtight Lids for Oil, Vinegar, Beverages, Liquor, Beer, Water, Kombucha, Kefir, Soda, By California Home Goods","New","24.99","No",,"Yes","0","0","0","0","0","0.73","0","0","0","0","0",Meal Prep Haven,US,https://sellercentral.amazon.com/gp/ssof/reports/search.html?#orderAscending=&recordType=FBA_MYI_UNSUPPRESSED_INVENTORY&noResultType=&merchantSku=&fnSku=&FnSkuXORMSku=&reimbursementId=&orderId=&genericOrderId=&asin=&lpn=&shipmentId=&problemType=ALL_DEFECT_TYPES&hazmatStatus=&inventoryEventTransactionType=&fulfillmentCenterId=&transactionItemId=&inventoryAdjustmentReasonGroup=&eventDateOption=1&fromDate=mm%2Fdd%2Fyyyy&toDate=mm%2Fdd%2Fyyyy&startDate=&endDate=&fromMonth=1&fromYear=2019&toMonth=1&toYear=2019&startMonth=&startYear=&endMonth=&endYear=&specificMonth=1&specificYear=2019
"CHG-TSS-2P","B071RDPP6Q","B071RDPP6Q","Child Step Stool (2 Pack), 2 Step Stool for Kids, Sturdy Plastic Step Stool for Kids Sink Use & Toilet Training, Toddler Step Stool Bathroom & Kitchen, Slip Resistant Dual Step Childrens Step Stools","New","30.99","No",,"Yes","3","0","3","0","3","1.19","0","0","0","0","0",Meal Prep Haven,US,https://sellercentral.amazon.com/gp/ssof/reports/search.html?#orderAscending=&recordType=FBA_MYI_UNSUPPRESSED_INVENTORY&noResultType=&merchantSku=&fnSku=&FnSkuXORMSku=&reimbursementId=&orderId=&genericOrderId=&asin=&lpn=&shipmentId=&problemType=ALL_DEFECT_TYPES&hazmatStatus=&inventoryEventTransactionType=&fulfillmentCenterId=&transactionItemId=&inventoryAdjustmentReasonGroup=&eventDateOption=1&fromDate=mm%2Fdd%2Fyyyy&toDate=mm%2Fdd%2Fyyyy&startDate=&endDate=&fromMonth=1&fromYear=2019&toMonth=1&toYear=2019&startMonth=&startYear=&endMonth=&endYear=&specificMonth=1&specificYear=2019
"F360-CHAR-8PK-MESH","X002AU86FP","B07XCQDBXW","Bamboo Charcoal Air Purifying Bag in Mesh Fabric, 8-Pack Activated Charcoal Odor Absorber Bags, Mildew-Proof Air Fresheners for Home, Antibacterial Odor Eliminator Charcoal Bags, Car Deodorizer Bags","New","49.99","No",,"Yes","0","0","0","0","0","0.11","0","0","0","0","0",Meal Prep Haven,US,https://sellercentral.amazon.com/gp/ssof/reports/search.html?#orderAscending=&recordType=FBA_MYI_UNSUPPRESSED_INVENTORY&noResultType=&merchantSku=&fnSku=&FnSkuXORMSku=&reimbursementId=&orderId=&genericOrderId=&asin=&lpn=&shipmentId=&problemType=ALL_DEFECT_TYPES&hazmatStatus=&inventoryEventTransactionType=&fulfillmentCenterId=&transactionItemId=&inventoryAdjustmentReasonGroup=&eventDateOption=1&fromDate=mm%2Fdd%2Fyyyy&toDate=mm%2Fdd%2Fyyyy&startDate=&endDate=&fromMonth=1&fromYear=2019&toMonth=1&toYear=2019&startMonth=&startYear=&endMonth=&endYear=&specificMonth=1&specificYear=2019
"F360-CHAR-9PK-GRN","X0026SO4NJ","B07S9G4HBQ","Activated Bamboo Charcoal Bags (9-Pack) Bundle, Air Purifying Bags for Home & Car, Moisture Remover & Air Purifier Bags, Green Charcoal Deodorizer Bags, 50-g, 100-g, and 60-g Charcoal Odor Absorbers","New","16.95","No",,"Yes","1037","1034","2","1","1037","0.16","0","0","0","0","0",Meal Prep Haven,US,https://sellercentral.amazon.com/gp/ssof/reports/search.html?#orderAscending=&recordType=FBA_MYI_UNSUPPRESSED_INVENTORY&noResultType=&merchantSku=&fnSku=&FnSkuXORMSku=&reimbursementId=&orderId=&genericOrderId=&asin=&lpn=&shipmentId=&problemType=ALL_DEFECT_TYPES&hazmatStatus=&inventoryEventTransactionType=&fulfillmentCenterId=&transactionItemId=&inventoryAdjustmentReasonGroup=&eventDateOption=1&fromDate=mm%2Fdd%2Fyyyy&toDate=mm%2Fdd%2Fyyyy&startDate=&endDate=&fromMonth=1&fromYear=2019&toMonth=1&toYear=2019&startMonth=&startYear=&endMonth=&endYear=&specificMonth=1&specificYear=2019
"F360-CHAR-GBS-8PK+BONUS","X0026P07J7","B07S8CVKT3","Bamboo Odor Eliminator Bags (8 Pack), Bamboo Charcoal Air Purifying Bag w/Hooks, Closet Dehumidifier, Car Scent Freshener, Gym Bag Deodorizer, Shoe Odor Eliminators, 200g & 50g Bamboo Deodorizer Bags","New","18.95","No",,"Yes","1246","1234","1","11","1246","0.09","0","0","0","0","0",Meal Prep Haven,US,https://sellercentral.amazon.com/gp/ssof/reports/search.html?#orderAscending=&recordType=FBA_MYI_UNSUPPRESSED_INVENTORY&noResultType=&merchantSku=&fnSku=&FnSkuXORMSku=&reimbursementId=&orderId=&genericOrderId=&asin=&lpn=&shipmentId=&problemType=ALL_DEFECT_TYPES&hazmatStatus=&inventoryEventTransactionType=&fulfillmentCenterId=&transactionItemId=&inventoryAdjustmentReasonGroup=&eventDateOption=1&fromDate=mm%2Fdd%2Fyyyy&toDate=mm%2Fdd%2Fyyyy&startDate=&endDate=&fromMonth=1&fromYear=2019&toMonth=1&toYear=2019&startMonth=&startYear=&endMonth=&endYear=&specificMonth=1&specificYear=2019
"F360-CHAR-OFHS-5PK","X0026Q33PV","B07S7DW59Z","Bamboo Charcoal Air Purifying Bag (5 Pack) Bundle, Natural Air Fresheners & Odor Eliminators for Home, Bad Air Deodorizer, Closet Freshener, Fridge Deodorizer, Car Air Purifier, Shoe Odor Eliminator","New","12.95","No",,"Yes","1168","1144","0","24","1168","0.13","0","0","0","0","0",Meal Prep Haven,US,https://sellercentral.amazon.com/gp/ssof/reports/search.html?#orderAscending=&recordType=FBA_MYI_UNSUPPRESSED_INVENTORY&noResultType=&merchantSku=&fnSku=&FnSkuXORMSku=&reimbursementId=&orderId=&genericOrderId=&asin=&lpn=&shipmentId=&problemType=ALL_DEFECT_TYPES&hazmatStatus=&inventoryEventTransactionType=&fulfillmentCenterId=&transactionItemId=&inventoryAdjustmentReasonGroup=&eventDateOption=1&fromDate=mm%2Fdd%2Fyyyy&toDate=mm%2Fdd%2Fyyyy&startDate=&endDate=&fromMonth=1&fromYear=2019&toMonth=1&toYear=2019&startMonth=&startYear=&endMonth=&endYear=&specificMonth=1&specificYear=2019
